latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
7.24692,10.18503,331.91,0.33,0.55,2026-01-29,1318,N,VIIRS,l,2.0NRT,304.68,3.51,D
6.61802,5.79381,336.3,0.5,0.41,2026-01-29,1318,N,VIIRS,n,2.0NRT,287.17,5.31,D
7.15615,9.50027,333.39,0.59,0.53,2026-01-29,1318,N,VIIRS,n,2.0NRT,300.06,3.14,D
7.0137,8.49552,344.57,0.5,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,311.7,5.33,D
6.81974,7.11871,337.25,0.4,0.45,2026-01-29,1318,N,VIIRS,n,2.0NRT,289.68,4.95,D
7.00278,8.35508,341.05,0.49,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,307.3,5.18,D
6.82069,7.09648,336.9,0.4,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,293.4,3,D
6.79604,6.92741,331.17,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,284.09,4.1,D
7.72337,13.50618,330.28,0.56,0.69,2026-01-29,1318,N,VIIRS,n,2.0NRT,296.15,3.2,D
7.04711,8.63178,339.4,0.51,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,306.46,3.33,D
7.75821,13.71793,343.78,0.58,0.7,2026-01-29,1318,N,VIIRS,n,2.0NRT,289.69,11.15,D
6.80362,6.9227,335.97,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,286.05,2.24,D
6.54338,5.16179,347.74,0.47,0.39,2026-01-29,1318,N,VIIRS,n,2.0NRT,297.08,7.79,D
7.29856,10.32976,339.95,0.34,0.56,2026-01-29,1318,N,VIIRS,n,2.0NRT,299.82,2.17,D
6.80977,6.93637,337.39,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,286.86,3.14,D
7.01239,8.29525,345.32,0.48,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,306.92,7.57,D
7.01175,8.29084,343.58,0.48,0.48,2026-01-29,1318,N,VIIRS,n,2.0NRT,305.98,7.57,D
6.81068,6.91444,348.52,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,289.67,9.41,D
6.81016,6.91088,332.11,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,286.01,9.41,D
7.09614,8.84195,342.86,0.53,0.5,2026-01-29,1318,N,VIIRS,n,2.0NRT,299.16,5.56,D
6.85348,7.17719,334.16,0.41,0.45,2026-01-29,1318,N,VIIRS,n,2.0NRT,290.28,2.06,D
6.82367,6.97451,334.84,0.4,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,283.36,2.49,D
6.81473,6.91386,355.54,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,290.41,9.41,D
6.81421,6.9103,333.66,0.39,0.44,2026-01-29,1318,N,VIIRS,n,2.0NRT,289.41,9.41,D
6.81045,6.9134,367,0.39,0.44,2026-01-29,1318,N,VIIRS,h,2.0NRT,290.98,16.57,D
7.04707,8.63272,337.63,0.51,0.49,2026-01-29,1318,N,VIIRS,n,2.0NRT,306.23,4.39,D
8.97831,8.6095,336.86,0.54,0.51,2026-01-29,1320,N,VIIRS,l,2.0NRT,310.61,4.39,D
8.61227,6.02962,342.07,0.55,0.43,2026-01-29,1320,N,VIIRS,n,2.0NRT,311.55,5.04,D
